trip_id,city,route_id,start_time,end_time,passengers,distance_km
106,Chiclayo,R502,2026-05-29T13:05:00Z,2026-05-29T13:28:00Z,18,12.8
107,Trujillo,R401,2026-05-29T19:03:00Z,2026-05-29T19:59:00Z,29,11.0
108,Cusco,R202,2026-05-29T18:51:00Z,2026-05-29T19:35:00Z,59,10.5
109,Trujillo,R401,2026-05-29T14:19:00Z,2026-05-29T14:53:00Z,22,11.0
110,Lima,R104,2026-05-29T11:44:00Z,2026-05-29T12:46:00Z,48,6.8
111,Arequipa,R302,2026-05-29T08:10:00Z,2026-05-29T09:09:00Z,-5,14.2
112,Chiclayo,R501,2026-05-29T07:25:00Z,2026-05-29T08:26:00Z,32,9.3
113,Trujillo,R401,2026-05-29T06:51:00Z,2026-05-29T07:27:00Z,29,11.0
114,Trujillo,R402,2026-05-29T11:45:00Z,2026-05-29T12:53:00Z,29,8.7
115,Trujillo,R402,2026-05-29T07:23:00Z,2026-05-29T08:13:00Z,6,8.7
116,Lima,R103,2026-05-29T09:49:00Z,2026-05-29T10:50:00Z,9,15.3
117,Lima,R101,2026-05-29T10:13:00Z,2026-05-29T10:45:00Z,58,-1.0
118,Arequipa,R301,2026-05-29T14:04:00Z,2026-05-29T15:06:00Z,12,12.1
119,Arequipa,R302,2026-05-29T17:56:00Z,2026-05-29T18:32:00Z,54,14.2
120,Chiclayo,R501,2026-05-29T19:16:00Z,2026-05-29T20:28:00Z,15,9.3
121,Lima,R101,2026-05-29T11:19:00Z,2026-05-29T12:15:00Z,48,11.4
122,Trujillo,R402,2026-05-29T18:12:00Z,2026-05-29T18:44:00Z,9,8.7
123,Arequipa,R301,2026-05-29T17:53:00Z,2026-05-29T19:02:00Z,24,12.1
124,Chiclayo,,2026-05-29T19:35:00Z,2026-05-29T20:31:00Z,55,9.3
125,Trujillo,R402,2026-05-29T07:10:00Z,2026-05-29T08:02:00Z,46,8.7
126,Trujillo,R402,2026-05-29T07:48:00Z,2026-05-29T08:35:00Z,28,8.7
127,Trujillo,R401,2026-05-29T13:25:00Z,2026-05-29T13:56:00Z,51,11.0
128,Cusco,R203,2026-05-29T19:47:00Z,2026-05-29T20:41:00Z,54,18.2
129,Trujillo,R402,2026-05-29T11:30:00Z,2026-05-29T12:44:00Z,20,8.7
130,Lima,R103,2026-05-29T13:41:00Z,2026-05-29T14:16:00Z,53,15.3
131,Chiclayo,R502,2026-05-29T11:44:00Z,2026-05-29T12:05:00Z,36,12.8
132,Arequipa,R302,2026-05-29T09:37:00Z,2026-05-29T10:19:00Z,56,14.2
133,Cusco,R203,2026-05-29T17:58:00Z,2026-05-29T18:35:00Z,40,-1.0
134,Lima,R102,2026-05-29T18:17:00Z,2026-05-29T19:03:00Z,36,8.2
135,Arequipa,R303,2026-05-29T14:07:00Z,2026-05-29T15:08:00Z,50,9.5
136,Lima,R101,2026-05-29T11:01:00Z,2026-05-29T11:35:00Z,30,11.4
137,Cusco,R203,2026-05-29T15:55:00Z,2026-05-29T16:38:00Z,35,18.2
138,Cusco,R202,2026-05-29T18:43:00Z,2026-05-29T19:38:00Z,26,10.5
139,Trujillo,R402,2026-05-29T11:13:00Z,2026-05-29T11:49:00Z,19,8.7
140,Arequipa,R302,2026-05-29T08:02:00Z,2026-05-29T09:09:00Z,39,14.2
141,Arequipa,R301,2026-05-29T09:41:00Z,2026-05-29T10:48:00Z,35,12.1
142,Chiclayo,R502,2026-05-29T07:42:00Z,2026-05-29T08:55:00Z,17,12.8
143,Cusco,R201,2026-05-29T11:09:00Z,2026-05-29T11:29:00Z,50,15.3
144,Cusco,R201,2026-05-29T06:55:00Z,2026-05-29T07:50:00Z,23,15.3
145,Arequipa,R303,2026-05-29T18:50:00Z,2026-05-29T19:41:00Z,11,9.5
146,Chiclayo,R502,2026-05-29T14:00:00Z,2026-05-29T14:50:00Z,33,12.8
147,Lima,R103,2026-05-29T14:09:00Z,2026-05-29T14:36:00Z,57,15.3
148,Trujillo,R401,2026-05-29T15:50:00Z,2026-05-29T16:50:00Z,48,11.0
149,Arequipa,R303,2026-05-29T11:11:00Z,2026-05-29T11:36:00Z,20,9.5
150,Trujillo,R401,2026-05-29T19:14:00Z,2026-05-29T20:07:00Z,29,11.0
151,Trujillo,R402,2026-05-29T16:02:00Z,2026-05-29T16:49:00Z,24,8.7
152,Lima,R101,2026-05-29T19:01:00Z,2026-05-29T19:34:00Z,45,11.4
153,Lima,R102,2026-05-29T10:05:00Z,2026-05-29T10:36:00Z,40,8.2
154,Lima,R104,2026-05-29T13:41:00Z,2026-05-29T14:45:00Z,43,6.8
155,Lima,R102,2026-05-29T10:55:00Z,2026-05-29T12:00:00Z,23,8.2
156,Trujillo,R401,2026-05-29T17:43:00Z,2026-05-29T18:17:00Z,21,11.0
157,Chiclayo,R501,2026-05-29T13:15:00Z,2026-05-29T13:42:00Z,39,9.3
158,Arequipa,R302,2026-05-29T08:25:00Z,2026-05-29T08:49:00Z,8,14.2
159,Cusco,R203,2026-05-29T18:46:00Z,2026-05-29T19:58:00Z,41,18.2
160,Trujillo,R401,2026-05-29T13:59:00Z,2026-05-29T15:03:00Z,24,11.0
161,Cusco,R203,2026-05-29T15:12:00Z,2026-05-29T16:03:00Z,33,18.2
162,Lima,R104,2026-05-29T18:32:00Z,2026-05-29T19:12:00Z,43,6.8
163,Lima,R102,2026-05-29T17:30:00Z,2026-05-29T18:43:00Z,60,8.2
164,Lima,R103,2026-05-29T15:50:00Z,2026-05-29T16:12:00Z,53,15.3
165,Trujillo,R402,2026-05-29T10:44:00Z,2026-05-29T11:15:00Z,42,8.7
166,Trujillo,R401,2026-05-29T14:01:00Z,2026-05-29T14:43:00Z,31,11.0
167,Lima,R102,2026-05-29T11:37:00Z,2026-05-29T12:23:00Z,49,8.2
168,Trujillo,R401,2026-05-29T13:45:00Z,2026-05-29T14:10:00Z,25,11.0
169,Lima,R104,2026-05-29T14:46:00Z,2026-05-29T15:58:00Z,5,6.8
170,Chiclayo,R502,2026-05-29T13:03:00Z,2026-05-29T13:26:00Z,17,12.8
171,Chiclayo,R502,2026-05-29T16:40:00Z,2026-05-29T17:28:00Z,53,12.8
172,Cusco,R203,2026-05-29T08:14:00Z,2026-05-29T08:52:00Z,33,18.2
173,Trujillo,R401,2026-05-29T06:29:00Z,2026-05-29T07:29:00Z,43,11.0
174,Arequipa,R302,2026-05-29T15:24:00Z,2026-05-29T15:44:00Z,40,14.2
175,Arequipa,R301,2026-05-29T13:52:00Z,2026-05-29T14:19:00Z,46,12.1
176,Trujillo,R402,2026-05-29T14:41:00Z,2026-05-29T15:46:00Z,22,8.7
177,Trujillo,R402,2026-05-29T10:09:00Z,2026-05-29T10:58:00Z,40,8.7
178,Arequipa,R303,2026-05-29T14:40:00Z,2026-05-29T15:47:00Z,13,9.5
179,Cusco,R202,2026-05-29T11:48:00Z,2026-05-29T12:58:00Z,37,10.5
180,Lima,R103,2026-05-29T18:23:00Z,2026-05-29T19:02:00Z,58,15.3
181,Trujillo,R401,2026-05-29T13:37:00Z,2026-05-29T14:31:00Z,35,11.0
182,Chiclayo,R502,2026-05-29T13:46:00Z,2026-05-29T14:26:00Z,60,12.8
183,Arequipa,R303,2026-05-29T12:32:00Z,2026-05-29T13:06:00Z,59,9.5
184,Lima,R103,2026-05-29T18:42:00Z,2026-05-29T19:32:00Z,50,15.3
185,Trujillo,R402,2026-05-29T17:19:00Z,2026-05-29T18:29:00Z,57,8.7
186,Arequipa,R302,2026-05-29T06:37:00Z,2026-05-29T07:05:00Z,37,14.2
187,Cusco,R201,2026-05-29T13:30:00Z,2026-05-29T13:56:00Z,38,15.3
188,Lima,R102,2026-05-29T12:59:00Z,2026-05-29T14:14:00Z,46,8.2
189,Lima,R104,2026-05-29T19:20:00Z,2026-05-29T19:56:00Z,26,6.8
190,Trujillo,R401,2026-05-29T11:36:00Z,2026-05-29T12:50:00Z,48,11.0
191,Trujillo,R402,2026-05-29T16:41:00Z,2026-05-29T17:46:00Z,53,8.7
192,Chiclayo,R501,2026-05-29T16:32:00Z,2026-05-29T16:56:00Z,20,9.3
193,Cusco,R201,2026-05-29T18:44:00Z,2026-05-29T19:09:00Z,32,15.3
194,Lima,R104,2026-05-29T08:50:00Z,2026-05-29T09:54:00Z,24,6.8
195,Lima,R103,2026-05-29T19:35:00Z,2026-05-29T19:58:00Z,23,15.3
196,Trujillo,R401,2026-05-29T10:10:00Z,2026-05-29T11:03:00Z,31,11.0
197,Arequipa,R301,2026-05-29T08:59:00Z,2026-05-29T09:24:00Z,44,12.1
198,Chiclayo,R501,2026-05-29T14:29:00Z,2026-05-29T15:26:00Z,14,9.3
199,Cusco,R202,2026-05-29T10:21:00Z,2026-05-29T11:23:00Z,5,10.5
200,Trujillo,R402,2026-05-29T17:33:00Z,2026-05-29T18:27:00Z,15,8.7
201,Cusco,R203,2026-05-29T11:06:00Z,2026-05-29T12:06:00Z,32,18.2
202,Trujillo,R402,2026-05-29T09:23:00Z,2026-05-29T10:07:00Z,59,8.7
203,Arequipa,R302,2026-05-29T15:45:00Z,2026-05-29T16:27:00Z,41,14.2
204,Cusco,,2026-05-29T17:14:00Z,2026-05-29T17:59:00Z,22,15.3
205,Lima,R104,2026-05-29T10:53:00Z,2026-05-29T12:02:00Z,56,6.8
206,Cusco,R201,2026-05-29T16:51:00Z,2026-05-29T17:23:00Z,44,15.3
207,Arequipa,R303,2026-05-29T07:39:00Z,2026-05-29T08:39:00Z,-5,9.5
208,Lima,R103,2026-05-29T18:29:00Z,2026-05-29T18:57:00Z,10,15.3
209,Cusco,R203,2026-05-29T13:05:00Z,2026-05-29T13:36:00Z,17,18.2
210,Chiclayo,R502,2026-05-29T15:03:00Z,2026-05-29T15:55:00Z,22,12.8
211,Cusco,R202,2026-05-29T19:45:00Z,2026-05-29T20:23:00Z,52,10.5
212,Lima,R104,2026-05-29T07:17:00Z,2026-05-29T07:46:00Z,53,6.8
213,Trujillo,,2026-05-29T07:32:00Z,2026-05-29T08:42:00Z,30,8.7
214,Lima,R104,2026-05-29T12:17:00Z,2026-05-29T13:20:00Z,52,6.8
215,Chiclayo,R502,2026-05-29T16:53:00Z,2026-05-29T17:36:00Z,11,12.8
216,Trujillo,R401,2026-05-29T16:34:00Z,2026-05-29T17:29:00Z,25,11.0
217,Arequipa,R303,2026-05-29T07:04:00Z,2026-05-29T08:04:00Z,57,9.5
218,Cusco,R203,2026-05-29T12:58:00Z,2026-05-29T13:25:00Z,13,-1.0
219,Cusco,R202,2026-05-29T07:58:00Z,2026-05-29T08:24:00Z,20,10.5
220,Arequipa,R302,2026-05-29T13:44:00Z,2026-05-29T14:27:00Z,47,14.2
221,Chiclayo,R502,2026-05-29T16:01:00Z,2026-05-29T17:08:00Z,51,12.8
222,Trujillo,R401,2026-05-29T14:21:00Z,2026-05-29T15:20:00Z,31,11.0
223,Cusco,R201,2026-05-29T17:46:00Z,2026-05-29T18:29:00Z,18,15.3
224,Arequipa,R302,2026-05-29T07:41:00Z,2026-05-29T08:44:00Z,28,14.2
225,Cusco,R201,2026-05-29T12:47:00Z,2026-05-29T13:24:00Z,17,15.3
226,Trujillo,R401,2026-05-29T17:18:00Z,2026-05-29T17:51:00Z,46,11.0
227,Lima,R101,2026-05-29T19:25:00Z,2026-05-29T20:06:00Z,20,11.4
228,Chiclayo,R501,2026-05-29T07:10:00Z,2026-05-29T08:23:00Z,53,9.3
229,Chiclayo,R501,2026-05-29T19:52:00Z,2026-05-29T21:07:00Z,19,9.3
230,Arequipa,R303,2026-05-29T06:02:00Z,2026-05-29T06:39:00Z,59,9.5
231,Arequipa,R303,2026-05-29T10:16:00Z,2026-05-29T11:27:00Z,16,9.5
232,Lima,R102,2026-05-29T06:15:00Z,2026-05-29T06:57:00Z,55,8.2
233,Chiclayo,R502,2026-05-29T06:16:00Z,2026-05-29T06:47:00Z,21,12.8
234,Trujillo,R401,2026-05-29T18:43:00Z,2026-05-29T19:07:00Z,35,11.0
235,Cusco,R203,2026-05-29T16:07:00Z,2026-05-29T16:33:00Z,33,18.2
236,Chiclayo,R501,2026-05-29T18:24:00Z,2026-05-29T19:34:00Z,60,9.3
237,Cusco,R202,2026-05-29T16:58:00Z,2026-05-29T17:19:00Z,8,10.5
238,Trujillo,R402,2026-05-29T17:42:00Z,2026-05-29T18:08:00Z,36,8.7
239,Trujillo,R401,2026-05-29T07:22:00Z,2026-05-29T08:02:00Z,43,11.0
240,Arequipa,R302,2026-05-29T16:39:00Z,2026-05-29T17:39:00Z,42,14.2
241,Cusco,R202,2026-05-29T16:11:00Z,2026-05-29T17:04:00Z,23,10.5
242,Chiclayo,R502,2026-05-29T07:41:00Z,2026-05-29T08:51:00Z,49,12.8
243,Chiclayo,R501,2026-05-29T13:20:00Z,2026-05-29T14:08:00Z,19,9.3
244,Trujillo,R402,2026-05-29T13:05:00Z,2026-05-29T14:11:00Z,11,8.7
245,Cusco,R203,2026-05-29T10:21:00Z,2026-05-29T11:04:00Z,14,18.2
246,Trujillo,R401,2026-05-29T07:33:00Z,2026-05-29T08:46:00Z,10,11.0
247,Lima,R103,2026-05-29T19:51:00Z,2026-05-29T20:19:00Z,40,15.3
248,Chiclayo,R502,2026-05-29T17:26:00Z,2026-05-29T17:53:00Z,31,12.8
249,Trujillo,R401,2026-05-29T10:54:00Z,2026-05-29T11:52:00Z,24,11.0
250,Chiclayo,R501,2026-05-29T08:38:00Z,2026-05-29T09:40:00Z,35,9.3
251,Lima,R103,2026-05-29T15:29:00Z,2026-05-29T16:12:00Z,12,15.3
252,Chiclayo,R501,2026-05-29T19:46:00Z,2026-05-29T20:33:00Z,59,9.3
253,Chiclayo,R501,2026-05-29T16:23:00Z,2026-05-29T17:25:00Z,58,9.3
254,Lima,R102,2026-05-29T10:39:00Z,2026-05-29T11:43:00Z,53,8.2
255,Cusco,R202,2026-05-29T06:06:00Z,2026-05-29T06:37:00Z,60,10.5
256,Trujillo,R401,2026-05-29T08:25:00Z,2026-05-29T09:32:00Z,45,11.0
257,Lima,R102,2026-05-29T12:25:00Z,2026-05-29T13:11:00Z,34,8.2
258,Cusco,R202,2026-05-29T18:18:00Z,2026-05-29T18:58:00Z,54,10.5
259,Chiclayo,R501,2026-05-29T06:53:00Z,2026-05-29T07:22:00Z,15,9.3
260,Lima,R101,2026-05-29T10:38:00Z,2026-05-29T11:26:00Z,47,11.4
261,Chiclayo,R502,2026-05-29T13:04:00Z,2026-05-29T13:41:00Z,18,12.8
262,Lima,R103,2026-05-29T13:20:00Z,2026-05-29T13:47:00Z,23,15.3
263,Chiclayo,R502,2026-05-29T14:59:00Z,2026-05-29T16:01:00Z,-5,12.8
264,Chiclayo,R501,2026-05-29T06:07:00Z,2026-05-29T06:40:00Z,24,9.3
265,Arequipa,,2026-05-29T10:56:00Z,2026-05-29T11:36:00Z,12,14.2
266,Trujillo,R401,2026-05-29T08:12:00Z,2026-05-29T08:56:00Z,39,11.0
267,Chiclayo,R502,2026-05-29T07:13:00Z,2026-05-29T07:58:00Z,60,12.8
268,Trujillo,R401,2026-05-29T13:50:00Z,2026-05-29T14:14:00Z,60,11.0
269,Trujillo,R402,2026-05-29T18:06:00Z,2026-05-29T19:06:00Z,31,8.7
270,Trujillo,R401,2026-05-29T11:32:00Z,2026-05-29T12:02:00Z,56,11.0
271,Trujillo,R402,2026-05-29T07:30:00Z,2026-05-29T08:17:00Z,59,8.7
272,Trujillo,R402,2026-05-29T14:56:00Z,2026-05-29T15:21:00Z,30,8.7
273,Cusco,R201,2026-05-29T11:41:00Z,2026-05-29T12:50:00Z,15,15.3
274,Lima,R102,2026-05-29T19:14:00Z,2026-05-29T19:56:00Z,27,8.2
275,Arequipa,R301,2026-05-29T07:45:00Z,2026-05-29T08:14:00Z,21,12.1
276,Chiclayo,R501,2026-05-29T18:58:00Z,2026-05-29T20:06:00Z,46,9.3
277,Trujillo,R402,2026-05-29T18:52:00Z,2026-05-29T19:48:00Z,53,8.7
278,Chiclayo,R502,2026-05-29T16:42:00Z,2026-05-29T17:22:00Z,14,12.8
279,Trujillo,R402,2026-05-29T16:46:00Z,2026-05-29T17:25:00Z,55,8.7
280,Lima,R103,2026-05-29T14:39:00Z,2026-05-29T15:03:00Z,24,15.3
281,Lima,R101,2026-05-29T12:17:00Z,2026-05-29T13:30:00Z,23,11.4
282,Lima,R104,2026-05-29T13:53:00Z,2026-05-29T14:50:00Z,40,6.8
283,Lima,R104,2026-05-29T19:49:00Z,2026-05-29T20:45:00Z,46,6.8
284,Chiclayo,R502,2026-05-29T14:33:00Z,2026-05-29T15:02:00Z,8,12.8
285,Cusco,R203,2026-05-29T07:26:00Z,2026-05-29T08:18:00Z,46,18.2
286,Arequipa,R303,2026-05-29T13:28:00Z,2026-05-29T14:16:00Z,38,9.5
287,Arequipa,R302,2026-05-29T12:21:00Z,2026-05-29T12:59:00Z,29,14.2
288,Cusco,R203,2026-05-29T16:12:00Z,2026-05-29T16:35:00Z,55,18.2
289,Cusco,R201,2026-05-29T11:37:00Z,2026-05-29T12:03:00Z,40,15.3
290,Cusco,R202,2026-05-29T18:21:00Z,2026-05-29T19:35:00Z,47,10.5
291,Chiclayo,R501,2026-05-29T11:41:00Z,2026-05-29T12:06:00Z,42,9.3
292,Cusco,R202,2026-05-29T17:11:00Z,2026-05-29T18:15:00Z,47,10.5
293,Chiclayo,R501,2026-05-29T11:17:00Z,2026-05-29T12:12:00Z,29,9.3
294,Cusco,R201,2026-05-29T17:26:00Z,2026-05-29T18:30:00Z,58,15.3
295,Chiclayo,R501,2026-05-29T17:01:00Z,2026-05-29T18:03:00Z,32,9.3
296,Lima,R103,2026-05-29T11:16:00Z,2026-05-29T11:47:00Z,18,15.3
297,Trujillo,R401,2026-05-29T09:51:00Z,2026-05-29T10:19:00Z,14,11.0
298,Lima,R101,2026-05-29T17:17:00Z,2026-05-29T17:58:00Z,54,11.4
299,Chiclayo,R502,2026-05-29T08:37:00Z,2026-05-29T09:07:00Z,16,12.8
